Startup,LinkedIn,Website,Raised to Date,Date of latest funding,Query,URL
Hermeus,https://www.linkedin.com/in/ajpiplica,https://www.hermeus.com/,Seed,"Jul 2, 2024",,
Birdy Grey,https://www.linkedin.com/in/graceleew,https://www.birdygrey.com/?srsltid=AfmBOoo-vWYJ3F2Qbxjz4FlPsDuzvvtHhVt10g169UZ7aK-OdVCPvcxN,https://www.crunchbase.com/organization/birdy-grey/company_overview/overview_timeline,,,
Monkeylearn,https://www.linkedin.com/in/rgarreta,https://monkeylearn.com/text-analysis,Seed,"Nov 15, 2021",,
Elemy,https://www.linkedin.com/in/yuryyak,https://www.elemy.com/,https://news.crunchbase.com/startups/whats-doc-startups-clamor-offer-patients-convenient-healthcare/,,,
NuBrakes,https://www.linkedin.com/in/walker-drewett-2ba05a96,https://nubrakes.com/,https://www.crunchbase.com/funding_round/nubrakes-seed--ab485af3,,,
Actiondesk,https://www.linkedin.com/in/jonathan-parisot-10054625/en,https://www.actiondesk.io/product,Seed,"May 24, 2022",,
Bravely,https://www.linkedin.com/in/tobyhervey,https://workbravely.com/,Seed,"Aug 24, 2021",,
Honeycomb,https://www.linkedin.com/in/christineyen,https://joinhoneycomb.com/,https://www.crunchbase.com/person/steven-a-cohen,,,
PrizePool,https://www.linkedin.com/in/franklynchien,https://getprizepool.com/,Seed,"May 2, 2021",,
Vendition,https://www.linkedin.com/in/jamesfnielsen,https://vendition.com/blog/news/what-is-a-sales-apprenticeship-vendition/,,"May 2, 2021",,
Capitalize,https://www.linkedin.com/in/gaurav-gs-sharma,https://www.hicapitalize.com/,https://www.crunchbase.com/funding_round/capitalize-series-a--809e70f6,,,
Commanddot,https://www.linkedin.com/in/jack-steam,https://commanddot.com/,,,,
Tinycare,https://www.linkedin.com/in/adamjnadeau,https://uluventures.com/micro-daycares-primed-to-help-students-teachers-and-parents/,https://www.crunchbase.com/organization/tinycare,,,
Whiz,https://www.linkedin.com/in/mike-peregudov,https://www.whiz.ai/,Seed,"Oct 25, 2022",,
