Startup,LinkedIn,Website,Raised to Date,Date of latest funding,Query,URL
Density,https://www.linkedin.com/in/andrewfarah,"https://envoy.com/integrations/density#:~:text=Density%20measures%20how%20people%20use,Envoy's%20employee%20and%20visitor%20logs.",Seed,"Nov 10, 2021",,
Digital Air Strike,https://www.linkedin.com/in/alexivenneri,https://digitalairstrike.com/,Series a,"Oct 26, 2009",,
dot.LA,https://www.linkedin.com/company/dot-la,https://dot.la/,Seed,Seed,,
Draft,https://ca.linkedin.com/company/trydraftco,https://ideausher.com/blog/fantasy-sports-app-like-draftkings/,Seed,"Feb 10, 2015",,
DSCVR,https://www.linkedin.com/in/rick-porter-b6b22212,https://www.prnewswire.com/news-releases/three-friends-start-web3-social-network-dscvr-as-experiment-to-build-new-social-media-model-raises-9m-in-seed-round-led-by-polychain-capital-301592141.html,Seed,Seed,,
Ellipse,https://www.linkedin.com/in/cyrillalo,https://www.ellipse.la/,Seed,"Oct 4, 2022",,
Endgame,https://www.linkedin.com/in/bilmes,https://www.endgame.io/blog/how-to-build-product-led-gtm,Seed,"Feb 8, 2022",,
Envestnet,https://www.linkedin.com/in/williamcrager,https://www.envestnet.com/,Seed,"Nov 15, 2022",,
Epoxy,https://www.linkedin.com/in/chris-reynolds-3677151,https://www.hollywoodreporter.com/business/digital/epoxy-launches-social-video-tools-705877/,Seed,"Jan 1, 2015",,
FabFitFun,https://www.linkedin.com/in/michaelbroukhim,https://fabfitfun.com/,Seed,"Jun 1, 2021",,
Factual,https://es.linkedin.com/company/factual,https://s3.amazonaws.com/factual-content/marketing/downloads/Factual-2019-Location-Based-Market-Report.pdf,Seed,"Sep 5, 2018",,
Fair,https://es.linkedin.com/in/tim-steinmark-a6835970,https://labusinessjournal.com/technology/automobiles-technology/fair-car-leasing-app-relaunch/,"https://www.crunchbase.com/organization/fair#:~:text=Fair%20is%20a%20car%20leasing%20company%20that%20aims%20to%20grant,walk%20away%20at%20any%20time.",,,
Ferris,https://www.linkedin.com/in/craig-ferris-169b506,https://flixier.com/,Seed,Seed,,
Fleetsmith,https://www.linkedin.com/in/zackblum,https://workspace.google.com/customers/fleetsmith/,Seed,"Apr 8, 2019",,
Forge Platform,https://www.linkedin.com/in/markiewagner,https://github.com/foundry-rs/foundry,Seed,Seed,,
GOAT,https://www.linkedin.com/in/eddylu,https://en.wikipedia.org/wiki/GOAT_(platform),Seed,"Jun 24, 2021",,
GoodRx,https://www.linkedin.com/in/dougjoe,"https://support.goodrx.com/hc/en-us/articles/115004944026-What-is-GoodRx-How-does-it-work#:~:text=GoodRx%20is%20a%20free%20mobile,%E2%80%94brand%2Dname%20and%20generic.",Seed,"Sep 13, 2020",,
Gravity,https://uk.linkedin.com/in/riccardo-tessaro-68149534,https://www.adweek.com/brand-marketing/gravity-and-web-125687/,Series a,"Oct 2, 2012",,
GumGum,https://www.linkedin.com/in/ophirtanz,https://gumgum.com/,Series a,"Apr 13, 2021",,
Happy Returns,https://www.linkedin.com/in/david-sobie-a37ab,https://happyreturns.com/,Seed,"Apr 25, 2019",,
Hathora,https://www.linkedin.com/in/dsiddharth,"https://indicius.com/work/hathora/#:~:text=Hathora%20is%20a%20serverless%20cloud,scale%20multiplayer%20games%20without%20downtime.",Seed,Seed,,
Health Data Insights,https://www.linkedin.com/in/nassibchamoun,https://www.cms.gov/data-research/monitoring-programs/improper-payment-measurement-programs,Series a,"Aug 1, 2005",,
HelloTech,https://www.linkedin.com/in/greg-steiner-8895681,https://www.hellotech.com/,"https://www.crunchbase.com/organization/hellotech#:~:text=HelloTech%20is%20changing%20the%20way,the%20technology%20within%20their%20homes.&text=States.",,,
Heroic Story,https://www.linkedin.com/in/jay-rosenkrantz,https://www.storywizard.ai/,Seed,"Feb 25, 2022",,
HopSkipDrive,https://www.linkedin.com/in/joannamcfarland,https://www.hopskipdrive.com/,Seed,"Sep 13, 2022",,
Imbellus,https://www.linkedin.com/posts/pathedley_la-startup-imbellus-adds-145-million-activity-6463770505156579328-D1Dr,https://educationaldatamining.org/files/conferences/EDM2018/papers/EDM2018_paper_19.pdf,Seed,"Oct 31, 2018",,
In&Motion,https://www.instagram.com/,https://www.instagram.com/,https://www.instagram.com/,,,
InfoSum,https://uk.linkedin.com/company/infosumhq,https://www.infosum.com/,Seed,"Aug 17, 2021",,
inVia Robotics,https://www.linkedin.com/in/lelazary,https://inviarobotics.com/,Seed,"Jul 28, 2021",,
Invoca,https://www.linkedin.com/in/johnsongregg,https://www.invoca.com/,Series a,"Jun 14, 2022",,
Jiko,https://www.linkedin.com/in/slintner,https://www.jiko.com/,Seed,"Oct 6, 2022",,
Kin,https://www.linkedin.com/in/philominakane,https://www.kincommerce.com/,Series a,Series A,,
Knowable,https://www.linkedin.com/in/mark-harris-9908133,https://knowable.fyi/about,Seed,"Oct 1, 2019",,
Kyriba,https://www.linkedin.com/in/jeanlucrobert,https://www.kyriba.com/solutions/treasury/,Series a,"Sep 27, 2017",,
Landline,https://www.linkedin.com/in/david-sunde-07b45327,https://www.landline.com/,Seed,"Oct 12, 2022",,
Laurel,https://www.linkedin.com/in/ryan-alshak-72815722,https://www.laurel.ai/,Seed,"Mar 1, 2022",,
Loupe,https://www.linkedin.com/in/zilladoty,https://loupetheapp.com/,Seed,"Jun 10, 2021",,
Maker Studios,https://ng.linkedin.com/in/philip-obosi#:~:text=Philip%20Obosi%20%2D%20Founder%20%26%20CEO%20%2D%20The%20Maker%20Studio%20%7C%20LinkedIn,https://financial-marketer.com/maker-studios-behind-the-curtain-at-the-worlds-largest-video-influencer-network/,Seed,"Sep 19, 2013",,
Market,https://business.linkedin.com/marketing-solutions/linkedin-marketing-for-startups/founders-guide,https://meetcody.ai/es/use-cases/creative-ai/,Seed,"Apr 19, 2022",,
Martie,https://www.linkedin.com/in/louisefritjofsson,https://martie.com/,Seed,Seed,,
Mealogic,https://www.linkedin.com/company/mealogic,https://www.mealogic.com/,Seed,"Oct 6, 2021",,
Metaimpact,https://www.linkedin.com/company/metaimpactnetwork,https://metaimpact.com/,https://www.crunchbase.com/organization/meta-impact,,,
mitú,https://www.linkedin.com/in/beatrizacevedo,https://wearemitu.com/about-mitu/,Series a,"Nov 14, 2018",,
mLab,https://www.linkedin.com/today/author/michelezanini,https://databasebrowser.jivrus.com/databases/mlab-mongodb,Series a,"Oct 1, 2012",,
Modern Animal,https://www.linkedin.com/in/steveneidelman#:~:text=Steven%20Eidelman%20%2D%20Modern%20Animal%20%7C%20LinkedIn,https://www.modernanimal.com/,Seed,"Jan 1, 2023",,
MyTime,https://www.linkedin.com/in/ethanranderson,https://www.mytime.com/,Series a,"Apr 20, 2017",,
Nanit,https://www.linkedin.com/in/smccollum,https://www.nanit.com/,Seed,"Feb 22, 2021",,
Nexkey,https://co.linkedin.com/company/nexkey,https://www.nexkey.com/,Seed,"Nov 5, 2021",,
Nima,https://www.linkedin.com/in/nghamsari,"https://en.wikipedia.org/wiki/Nima_(device)#:~:text=Nima%20is%20a%20portable%20food,category%20of%20consumer%20food%20testers.",Seed,"May 19, 2016",,
NuORDER,https://mc.linkedin.com/in/heathwells,https://www.nuorder.com/,Seed,"Mar 10, 2021",,
Omni Creator Products,https://www.linkedin.com/company/ocpgg,https://www.ocp.gg/,Seed,"Jun 6, 2022",,
Open Raven,https://www.linkedin.com/in/davecolela,https://www.openraven.com/,Seed,"Sep 8, 2022",,
Osmo,https://www.linkedin.com/in/pierocoen,https://www.playosmo.com/,Seed,"Dec 8, 2016",,
OurSky,https://www.linkedin.com/in/dan-roelker,https://oursky.ai/,Seed,"Dec 6, 2023",,
Outer,https://www.linkedin.com/in/jiakeliu,https://liveouter.com/,Seed,"Oct 4, 2021",,
Overture,https://www.linkedin.com/company/overturevc,https://launchpresso.com/what-happened-to-overture-com/,Series a,"Nov 10, 1999",,
Parachute Home,https://www.linkedin.com/in/arielkaye,https://www.parachutehome.com/,Seed,"Jun 27, 2018",,
Parfait,https://www.linkedin.com/in/isokenigbinedion,https://upfront.com/thoughts/bringing-ai-to-communities-of-color-introducing-parfait,Seed,Seed,,
Pathmatics,https://www.linkedin.com/company/pathmatics-inc,https://sensortower.com/pathmatics,Seed,"Oct 26, 2018",,
Pinwheel,https://www.linkedin.com/in/kurtislin,https://www.pinwheelapi.com/,Seed,"Jan 18, 2022",,
Pragma,https://co.linkedin.com/company/somospragma,https://pragma.gg/,Seed,"Oct 27, 2021",,
Prevision.io,https://www.linkedin.com/company/prevision.io/,https://previsionio.readthedocs.io/,Seed,"Oct 23, 2020",,
Projector,https://www.linkedin.com/in/-robertmarks,https://medium.com/@projectorhq/stories-take-shape-ee249d9d201c,Seed,"Dec 16, 2020",,
Provenance,https://uk.linkedin.com/in/jessibaker,https://www.provenance.co/,Seed,"Jan 16, 2024",,
